combo,train_langs,system,metric,language,value
en_es,English+Spanish,F_sequential,classification_macro_f1,Spanish,0.7671
en_es,English+Spanish,F_sequential,classification_macro_f1,Telugu,0.689
en_es,English+Spanish,F_sequential,classification_macro_f1,Overall,0.7614
en_es,English+Spanish,F_sequential,e2e_span_overlap_f1,English,0.6927
en_es,English+Spanish,F_sequential,e2e_span_overlap_f1,Hindi,0.4365
en_es,English+Spanish,F_sequential,e2e_span_overlap_f1,Indonesian,0.6733
en_es,English+Spanish,F_sequential,e2e_span_overlap_f1,Spanish,0.7169
en_es,English+Spanish,F_sequential,e2e_span_overlap_f1,Telugu,0.687
en_es,English+Spanish,F_sequential,e2e_span_overlap_f1,Overall,0.6756
en_es,English+Spanish,F_sequential,joint_accuracy,Overall,0.5816
en_es,English+Spanish,G_bio,joint_f1,English,0.474
en_es,English+Spanish,G_bio,joint_f1,Spanish,0.4697
en_es,English+Spanish,G_bio,joint_f1,Hindi,0.4609
en_es,English+Spanish,G_bio,joint_f1,Telugu,0.4464
en_es,English+Spanish,G_bio,joint_f1,Overall,0.4587
en_es,English+Spanish,G_bio,e2e_span_overlap_f1,English,0.8168
en_es,English+Spanish,G_bio,e2e_span_overlap_f1,Hindi,0.563
en_es,English+Spanish,G_bio,e2e_span_overlap_f1,Indonesian,0.6169
en_es,English+Spanish,G_bio,e2e_span_overlap_f1,Spanish,0.8048
en_es,English+Spanish,G_bio,e2e_span_overlap_f1,Telugu,0.2942
en_es,English+Spanish,G_bio,e2e_span_overlap_f1,Overall,0.6967
en_es,English+Spanish,G_bio,joint_accuracy,Overall,0.2814
en_hi,English+Hindi,A_pipeline,joint_f1,English,0.7768
en_hi,English+Hindi,A_pipeline,joint_f1,Spanish,0.72
en_hi,English+Hindi,A_pipeline,joint_f1,Hindi,0.5989
en_hi,English+Hindi,A_pipeline,joint_f1,Telugu,0.6418
en_hi,English+Hindi,A_pipeline,joint_f1,Overall,0.7288
en_hi,English+Hindi,A_pipeline,joint_f1_macro_avg,Overall,0.6844
en_hi,English+Hindi,A_pipeline,classification_macro_f1,English,0.7892
en_hi,English+Hindi,A_pipeline,classification_macro_f1,Hindi,0.5989
en_hi,English+Hindi,A_pipeline,classification_macro_f1,Indonesian,0.7762
en_hi,English+Hindi,A_pipeline,classification_macro_f1,Spanish,0.7454
